ID_sample,Loci,Raw,Adapt
ADE_25_00773,COIB1,1371140,258006
ADE_25_00773,MiFishU,1371140,481066
ADE_25_00773,rbcLrouge,1371140,0
ADE_25_00773,rbcLverte,1371140,1
ADE_25_01177,12S160,7163720,1342003
ADE_25_01177,18SV9,7163720,1007182
ADE_25_01177,COIB1,7163720,3161266
ADE_25_01177,MiFishU,7163720,1299666
ADE_25_01177,rbcLrouge,7163720,102224
ADE_25_01177,rbcLverte,7163720,150079
ADE_25_01178,12S160,9539339,2456335
ADE_25_01178,18SV9,9539339,1191985
ADE_25_01178,COIB1,9539339,2991916
ADE_25_01178,MiFishU,9539339,2449072
ADE_25_01178,rbcLrouge,9539339,207920
ADE_25_01178,rbcLverte,9539339,164476
ADE_25_01179,12S160,6806162,1156864
ADE_25_01179,18SV9,6806162,815558
ADE_25_01179,COIB1,6806162,2729913
ADE_25_01179,MiFishU,6806162,1855910
ADE_25_01179,rbcLrouge,6806162,37449
ADE_25_01179,rbcLverte,6806162,140175
ADE_25_01180,12S160,5074399,1349473
ADE_25_01180,18SV9,5074399,1011995
ADE_25_01180,COIB1,5074399,1587758
ADE_25_01180,MiFishU,5074399,916788
ADE_25_01180,rbcLrouge,5074399,54336
ADE_25_01180,rbcLverte,5074399,94320
ADE_25_01181,12S160,4957990,1315524
ADE_25_01181,18SV9,4957990,1165084
ADE_25_01181,COIB1,4957990,1161547
ADE_25_01181,MiFishU,4957990,1003955
ADE_25_01181,rbcLrouge,4957990,134380
ADE_25_01181,rbcLverte,4957990,120431
ADE_25_01182,12S160,4652996,1329064
ADE_25_01182,18SV9,4652996,868379
ADE_25_01182,COIB1,4652996,1584573
ADE_25_01182,MiFishU,4652996,574231
ADE_25_01182,rbcLrouge,4652996,133085
ADE_25_01182,rbcLverte,4652996,115652
ADE_25_01183,12S160,1510535,392930
ADE_25_01183,18SV9,1510535,733361
ADE_25_01183,COIB1,1510535,2865
ADE_25_01183,MiFishU,1510535,97039
ADE_25_01183,rbcLrouge,1510535,121894
ADE_25_01183,rbcLverte,1510535,113472
ADE_25_01184,12S160,4203885,1086424
ADE_25_01184,18SV9,4203885,840849
ADE_25_01184,COIB1,4203885,1422537
ADE_25_01184,MiFishU,4203885,535077
ADE_25_01184,rbcLrouge,4203885,140671
ADE_25_01184,rbcLverte,4203885,139232
ADE_25_01185,12S160,5081473,1334922
ADE_25_01185,18SV9,5081473,774116
ADE_25_01185,COIB1,5081473,2025035
ADE_25_01185,MiFishU,5081473,609830
ADE_25_01185,rbcLrouge,5081473,117887
ADE_25_01185,rbcLverte,5081473,156402
ADE_25_01186,12S160,6884998,2014259
ADE_25_01186,18SV9,6884998,967806
ADE_25_01186,COIB1,6884998,2040899
ADE_25_01186,MiFishU,6884998,1587140
ADE_25_01186,rbcLrouge,6884998,120384
ADE_25_01186,rbcLverte,6884998,93920
ADE_25_01187,12S160,3971427,1025565
ADE_25_01187,18SV9,3971427,1124636
ADE_25_01187,COIB1,3971427,1066031
ADE_25_01187,MiFishU,3971427,210104
ADE_25_01187,rbcLrouge,3971427,250275
ADE_25_01187,rbcLverte,3971427,175956
ADE_25_01188,12S160,4529583,1354455
ADE_25_01188,18SV9,4529583,1067834
ADE_25_01188,COIB1,4529583,968429
ADE_25_01188,MiFishU,4529583,782739
ADE_25_01188,rbcLrouge,4529583,179917
ADE_25_01188,rbcLverte,4529583,128159
ADE_25_01189,12S160,5259211,1029702
ADE_25_01189,18SV9,5259211,1109424
ADE_25_01189,COIB1,5259211,1582995
ADE_25_01189,MiFishU,5259211,1128141
ADE_25_01189,rbcLrouge,5259211,231237
ADE_25_01189,rbcLverte,5259211,123036
ADE_25_01190,12S160,4218601,1317587
ADE_25_01190,18SV9,4218601,707801
ADE_25_01190,COIB1,4218601,933244
