ID,Loci,Remove,Reads,N
ADE_25_01218_12S160,12S160,92120,Dada2,6
ADE_25_01218_12S160,12S160,92120,Adapt,92126
ADE_25_01219_12S160,12S160,518266,Dada2,729202
ADE_25_01219_12S160,12S160,518266,Adapt,1247468
ADE_25_01220_12S160,12S160,474052,Dada2,696432
ADE_25_01220_12S160,12S160,474052,Adapt,1170484
ADE_25_01221_12S160,12S160,737933,Dada2,735563
ADE_25_01221_12S160,12S160,737933,Adapt,1473496
ADE_25_01222_12S160,12S160,483312,Dada2,586011
ADE_25_01222_12S160,12S160,483312,Adapt,1069323
ADE_25_01223_12S160,12S160,799241,Dada2,310717
ADE_25_01223_12S160,12S160,799241,Adapt,1109958
ADE_25_01224_12S160,12S160,1005154,Dada2,213780
ADE_25_01224_12S160,12S160,1005154,Adapt,1218934
ADE_25_01225_12S160,12S160,1003220,Dada2,2973
ADE_25_01225_12S160,12S160,1003220,Adapt,1006193
ADE_25_01226_12S160,12S160,321032,Dada2,779090
ADE_25_01226_12S160,12S160,321032,Adapt,1100122
ADE_25_01227_12S160,12S160,249167,Dada2,787010
ADE_25_01227_12S160,12S160,249167,Adapt,1036177
ADE_25_01228_12S160,12S160,531615,Dada2,745429
ADE_25_01228_12S160,12S160,531615,Adapt,1277044
ADE_25_01229_12S160,12S160,623603,Dada2,193892
ADE_25_01229_12S160,12S160,623603,Adapt,817495
ADE_25_01230_12S160,12S160,310146,Dada2,238006
ADE_25_01230_12S160,12S160,310146,Adapt,548152
ADE_25_01231_12S160,12S160,709309,Dada2,618657
ADE_25_01231_12S160,12S160,709309,Adapt,1327966
ADE_25_01232_12S160,12S160,587840,Dada2,635278
ADE_25_01232_12S160,12S160,587840,Adapt,1223118
ADE_25_01233_12S160,12S160,467715,Dada2,547746
ADE_25_01233_12S160,12S160,467715,Adapt,1015461
ADE_25_01234_12S160,12S160,422258,Dada2,1054029
ADE_25_01234_12S160,12S160,422258,Adapt,1476287
ADE_25_01235_12S160,12S160,513831,Dada2,1173788
ADE_25_01235_12S160,12S160,513831,Adapt,1687619
ADE_25_01236_12S160,12S160,472952,Dada2,1257591
ADE_25_01236_12S160,12S160,472952,Adapt,1730543
ADE_25_01237_12S160,12S160,391980,Dada2,979980
ADE_25_01237_12S160,12S160,391980,Adapt,1371960
ADE_25_01238_12S160,12S160,377039,Dada2,1144296
ADE_25_01238_12S160,12S160,377039,Adapt,1521335
ADE_25_01239_12S160,12S160,517013,Dada2,891827
ADE_25_01239_12S160,12S160,517013,Adapt,1408840
ADE_25_01240_12S160,12S160,551856,Dada2,1131314
ADE_25_01240_12S160,12S160,551856,Adapt,1683170
ADE_25_01241_12S160,12S160,481529,Dada2,1526075
ADE_25_01241_12S160,12S160,481529,Adapt,2007604
ADE_25_01242_12S160,12S160,371931,Dada2,1507689
ADE_25_01242_12S160,12S160,371931,Adapt,1879620
ADE_25_01243_12S160,12S160,423579,Dada2,131
ADE_25_01243_12S160,12S160,423579,Adapt,423710
ADE_25_01244_12S160,12S160,316900,Dada2,1229922
ADE_25_01244_12S160,12S160,316900,Adapt,1546822
ADE_25_01245_12S160,12S160,350374,Dada2,1698542
ADE_25_01245_12S160,12S160,350374,Adapt,2048916
ADE_25_01246_12S160,12S160,479223,Dada2,1984630
ADE_25_01246_12S160,12S160,479223,Adapt,2463853
ADE_25_01247_12S160,12S160,699368,Dada2,1262227
ADE_25_01247_12S160,12S160,699368,Adapt,1961595
ADE_25_01248_12S160,12S160,765400,Dada2,1492228
ADE_25_01248_12S160,12S160,765400,Adapt,2257628
ADE_25_01249_12S160,12S160,512099,Dada2,827197
ADE_25_01249_12S160,12S160,512099,Adapt,1339296
ADE_25_01250_12S160,12S160,299360,Dada2,750235
