ID_sample,Loci,Merge,Final,ESVlength
ADE_25_01189,COIB1,1234181,1129897,1234108
ADE_25_01190,COIB1,693256,569919,693101
ADE_25_01191,COIB1,1823189,1412778,1823163
ADE_25_01192,COIB1,269,269,269
ADE_25_01193,COIB1,1135245,997748,1134878
ADE_25_01194,COIB1,1123027,972321,1120572
ADE_25_01195,COIB1,479372,419712,478814
ADE_25_01196,COIB1,1,1,1
ADE_25_01197,COIB1,850330,809500,849456
ADE_25_01198,COIB1,666007,635031,665445
ADE_25_01199,COIB1,735781,714759,735475
ADE_25_01200,COIB1,1218438,1024292,1218139
ADE_25_01201,COIB1,747867,634555,747453
ADE_25_01202,COIB1,1257111,1044920,1256709
ADE_25_01203,COIB1,1221754,1174694,1219657
ADE_25_01204,COIB1,2014030,1966534,2011658
ADE_25_01205,COIB1,1124709,1091041,1123197
ADE_25_01206,COIB1,187719,142152,183134
ADE_25_01207,COIB1,385589,330233,381471
ADE_25_01208,COIB1,333968,274875,328211
ADE_25_01209,COIB1,477893,463083,477485
ADE_25_01210,COIB1,1125189,1090618,1124539
ADE_25_01211,COIB1,1550762,1517399,1550041
ADE_25_01212,COIB1,918757,877463,918287
ADE_25_01213,COIB1,60730,59579,60726
ADE_25_01214,COIB1,1073241,1029194,1072771
ADE_25_01215,COIB1,409859,350998,409418
ADE_25_01216,COIB1,407696,347718,407214
ADE_25_01217,COIB1,712058,611463,711731
ADE_25_01218,COIB1,5310,5310,5310
ADE_25_01219,COIB1,3,3,3
ADE_25_01220,COIB1,309123,264298,308567
ADE_25_01221,COIB1,330915,278966,330261
ADE_25_01222,COIB1,1361200,1285236,1361150
ADE_25_01223,COIB1,1282247,1209461,1282124
ADE_25_01224,COIB1,1287231,1206859,1287176
ADE_25_01225,COIB1,738577,685028,738323
ADE_25_01226,COIB1,705288,565704,704939
ADE_25_01227,COIB1,676644,554987,675464
ADE_25_01228,COIB1,645857,529986,645786
ADE_25_01229,COIB1,837945,666162,837778
ADE_25_01230,COIB1,758295,642771,758075
ADE_25_01231,COIB1,897051,844942,896856
ADE_25_01232,COIB1,1136015,1058848,1135754
ADE_25_01233,COIB1,801739,754031,801528
ADE_25_01234,COIB1,523203,374948,522985
ADE_25_01235,COIB1,386923,256018,386601
ADE_25_01236,COIB1,691109,492914,691049
ADE_25_01237,COIB1,607909,514166,607579
ADE_25_01238,COIB1,101965,81975,101329
ADE_25_01239,COIB1,331509,275504,331051
ADE_25_01240,COIB1,561538,485206,561311
ADE_25_01241,COIB1,375047,305805,374464
ADE_25_01242,COIB1,489781,396580,489427
ADE_25_01243,COIB1,762270,761333,762247
ADE_25_01244,COIB1,440433,346935,439874
ADE_25_01245,COIB1,443112,344625,441589
ADE_25_01246,COIB1,384307,291073,383620
ADE_25_01247,COIB1,605067,511254,604660
ADE_25_01248,COIB1,569429,490416,568795
ADE_25_01249,COIB1,5,5,5
ADE_25_01250,COIB1,14101,9862,14096
ADE_25_01251,COIB1,578624,399742,578450
ADE_25_01252,COIB1,721838,544954,721508
ADE_25_01253,COIB1,469540,345308,469247
ADE_25_01254,COIB1,831653,700872,831471
ADE_25_01255,COIB1,529127,445900,529042
ADE_25_01256,COIB1,622495,586936,621646
ADE_25_01257,COIB1,562341,520067,561464
ADE_25_01258,COIB1,476487,439682,475867
ADE_25_01259,COIB1,740059,620979,739200
ADE_25_01260,COIB1,689396,580080,689125
ADE_25_01261,COIB1,828699,683746,828206
ADE_25_01262,COIB1,971644,891584,971454
ADE_25_01263,COIB1,1075238,974489,1074820
ADE_25_01264,COIB1,812225,725480,812174
ADE_25_01265,COIB1,1163603,978821,1163418
ADE_25_01266,COIB1,1342581,1121735,1342488
ADE_25_01268,COIB1,1100665,988242,1100353
ADE_25_01269,COIB1,905150,830722,904922
ADE_25_01270,COIB1,18,18,18
ADE_25_01271,COIB1,1264967,1138306,1264942
ADE_25_01272,COIB1,690541,567254,690459
ADE_25_01273,COIB1,785502,629032,761729
ADE_25_01274,COIB1,560273,469492,560005
ADE_25_01275,COIB1,581500,475797,581235
ADE_25_01276,COIB1,1,1,1
ADE_25_01277,COIB1,985049,920309,984942
ADE_25_01278,COIB1,1236216,1157854,1236201
ADE_25_01279,COIB1,12,12,12
ADE_25_01280,COIB1,912121,834361,911922
ADE_25_01281,COIB1,970370,882502,969992
ADE_25_01282,COIB1,902859,837298,902636
ADE_25_01283,COIB1,1676698,1383298,1676571
ADE_25_01284,COIB1,862449,681941,862438
ADE_25_01285,COIB1,1516938,1332935,1516864
ADE_25_01286,COIB1,1135774,1034817,1135467
ADE_25_01287,COIB1,691983,631551,691891
ADE_25_01288,COIB1,1036076,957452,1035802
ADE_25_01289,COIB1,949494,841010,949490
ADE_25_01290,COIB1,838190,678468,837971
ADE_25_01291,COIB1,108,108,108
ADE_25_01292,COIB1,681559,527396,680126
ADE_25_01293,COIB1,641857,479020,639235
ADE_25_01294,COIB1,423985,341560,422839
ADE_25_01295,COIB1,495204,352036,494103
ADE_25_01296,COIB1,322674,176522,270156
ADE_25_01297,COIB1,212272,143829,210286
ADE_25_01298,COIB1,967987,786344,967670
ADE_25_01299,COIB1,688979,500740,688529
ADE_25_01300,COIB1,577826,490674,577331
ADE_25_01301,COIB1,842914,804970,835277
ADE_25_01302,COIB1,552268,503064,548114
ADE_25_01303,COIB1,437235,409562,429435
ADE_25_01304,COIB1,763741,720050,761530
ADE_25_01305,COIB1,1187033,1118097,1182184
ADE_25_01306,COIB1,689885,656437,686523
ADE_25_01307,COIB1,8193,91,91
ADE_25_01308,COIB1,955344,867942,955169
ADE_25_01309,COIB1,719171,668082,719108
ADE_25_01310,COIB1,51840,49650,51828
ADE_25_01311,COIB1,1120657,894157,1120648
ADE_25_01312,COIB1,632456,508289,632035
ADE_25_01313,COIB1,1290063,1017347,1289991
ADE_25_01314,COIB1,1923152,1650654,1923136
ADE_25_01315,COIB1,1950542,1685347,1950446
ADE_25_01316,COIB1,1837940,1569598,1837913
ADE_25_01317,COIB1,1177842,1017890,1177839
ADE_25_01318,COIB1,1377462,1200580,1377355
ADE_25_01319,COIB1,918694,760435,918574
ADE_25_01320,COIB1,1965,1955,1955
ADE_25_01321,COIB1,248580,183203,247199
ADE_25_01322,COIB1,297230,245392,295378
ADE_25_01323,COIB1,508864,403848,507473
ADE_25_01324,COIB1,537471,291025,537327
ADE_25_01325,COIB1,849766,752933,849678
ADE_25_01326,COIB1,191529,164003,190903
ADE_25_01327,COIB1,382331,321029,382030
ADE_25_01328,COIB1,658417,508083,657580
ADE_25_01329,COIB1,633868,547381,633538
ADE_25_01330,COIB1,295153,267689,294682
ADE_25_01331,COIB1,45,45,45
ADE_25_01332,COIB1,337835,296005,337289
ADE_25_01333,COIB1,44245,44120,44120
ADE_25_01334,COIB1,884643,808388,883235
ADE_25_01335,COIB1,187356,180840,187176
ADE_25_01336,COIB1,901534,817400,900468
ADE_25_01337,COIB1,1224178,1119666,1224031
ADE_25_01338,COIB1,1214059,1067876,1213692
ADE_25_01339,COIB1,792867,673533,792635
